id_transaccion;timestamp;moneda_origen;moneda_destino;monto;cuenta_origen;cuenta_destino;tipo
1;1754937004;USDT;USDT;100.50;userA;userB;transferencia
2;1755541804;BTC;USDT;0.1;userB;;swap
3;1756751404;BTC;;50000;userC;;alta_cuenta
4;1757183404;USDT;BTC;500.25;userD;userE;transferencia
5;1757615404;ETH;USDT;1.5;userF;userG;swap
6;1758047404;BTC;;75000;userH;;alta_cuenta
7;1758479404;USDT;ETH;250.75;userI;userJ;transferencia
8;1758911404;BTC;ETH;0.05;userK;;swap
9;1759343404;ETH;;1000;userL;;alta_cuenta
10;1759775404;ETH;USDT;50.90;userM;userN;transferencia
11;1760207404;USDT;BTC;1000.00;userO;userP;swap
12;1760639404;ETH;;2500;userQ;;alta_cuenta
13;1761071404;USDT;ETH;75.50;userR;userS;transferencia
14;1761503404;BTC;USDT;0.2;userT;;swap
15;1761935404;USDT;;15000;userA;;alta_cuenta
16;1762367404;ETH;BTC;2.3;userB;userC;transferencia
17;1762799404;USDT;ETH;300.50;userD;;swap
18;1763231404;BTC;;90000;userE;;alta_cuenta
19;1763663404;BTC;ETH;0.15;userF;userG;transferencia
20;1764095404;ETH;USDT;1.8;userH;;swap
21;1764527404;USDT;;25000;userI;;alta_cuenta
22;1764959404;USDT;BTC;50.10;userJ;userK;transferencia
23;1765391404;ETH;BTC;0.5;userL;;swap
24;1765823404;BTC;;45000;userM;;alta_cuenta
25;1766255404;ETH;USDT;1.2;userN;userO;transferencia
26;1766687404;BTC;ETH;0.08;userP;;swap
27;1767119404;USDT;;80000;userQ;;alta_cuenta
28;1767551404;USDT;BTC;150.75;userR;userS;transferencia
29;1767983404;ETH;USDT;0.75;userT;;swap
30;1768415404;BTC;;60000;userA;;alta_cuenta
31;1768847404;USDT;ETH;30.25;userB;userC;transferencia
32;1769279404;BTC;USDT;0.3;userD;;swap
33;1769711404;ETH;;2000;userE;;alta_cuenta
34;1770143404;ETH;BTC;2.1;userF;userG;transferencia
35;1770575404;USDT;ETH;400.00;userH;;swap
36;1771007404;BTC;;70000;userI;;alta_cuenta
37;1771439404;BTC;USDT;0.09;userJ;userK;transferencia
38;1771871404;ETH;BTC;1.9;userL;;swap
39;1772303404;USDT;;12000;userM;;alta_cuenta
40;1772735404;USDT;ETH;60.50;userN;userO;transferencia
41;1773167404;BTC;USDT;0.12;userP;;swap
42;1773599404;ETH;;3500;userQ;;alta_cuenta
43;1774031404;ETH;BTC;0.6;userR;userS;transferencia
44;1774463404;USDT;ETH;200.25;userT;;swap
45;1774895404;BTC;;55000;userA;;alta_cuenta
46;1775327404;BTC;USDT;0.22;userB;userC;transferencia
47;1775759404;ETH;BTC;1.1;userD;;swap
48;1776191404;USDT;;95000;userE;;alta_cuenta
49;1776623404;USDT;BTC;80.80;userF;userG;transferencia
50;1777055404;BTC;ETH;0.07;userH;;swap
51;1777487404;ETH;;1800;userI;;alta_cuenta
52;1777919404;ETH;USDT;3.0;userJ;userK;transferencia
53;1778351404;USDT;BTC;500.00;userL;;swap
54;1778783404;BTC;;40000;userM;;alta_cuenta
55;1779215404;BTC;ETH;0.18;userN;userO;transferencia
56;1779647404;ETH;USDT;2.5;userP;;swap
57;1780079404;USDT;;60000;userQ;;alta_cuenta
58;1780511404;USDT;ETH;120.20;userR;userS;transferencia
59;1780943404;BTC;USDT;0.1;userT;;swap
60;1781375404;ETH;;1500;userA;;alta_cuenta
61;1781807404;ETH;BTC;1.7;userB;userC;transferencia
62;1782239404;USDT;ETH;350.50;userD;;swap
63;1782671404;BTC;;85000;userE;;alta_cuenta
64;1783103404;USDT;BTC;25.90;userF;userG;transferencia
65;1783535404;ETH;USDT;0.9;userH;;swap
66;1783967404;USDT;;100000;userI;;alta_cuenta
67;1784399404;BTC;ETH;0.06;userJ;userK;transferencia
68;1784831404;USDT;BTC;750.00;userL;;swap
69;1785263404;ETH;;5000;userM;;alta_cuenta
70;1785695404;USDT;ETH;90.10;userN;userO;transferencia
71;1786127404;BTC;USDT;0.4;userP;;swap
72;1786559404;BTC;;30000;userQ;;alta_cuenta
73;1786991404;ETH;BTC;2.8;userR;userS;transferencia
74;1787423404;USDT;ETH;150.00;userT;;swap
75;1787855404;ETH;;25000;userA;;alta_cuenta
76;1788287404;BTC;USDT;0.14;userB;userC;transferencia
77;1788719404;ETH;BTC;0.3;userD;;swap
78;1789151404;USDT;;75000;userE;;alta_cuenta
79;1789583404;USDT;ETH;45.45;userF;userG;transferencia
80;1790015404;BTC;USDT;0.05;userH;;swap
81;1790447404;BTC;;95000;userI;;alta_cuenta
82;1790879404;ETH;BTC;1.5;userJ;userK;transferencia
83;1791311404;USDT;ETH;220.75;userL;;swap
84;1791743404;USDT;;40000;userM;;alta_cuenta
85;1792175404;BTC;USDT;0.2;userN;userO;transferencia
86;1792607404;ETH;BTC;1.0;userP;;swap
87;1793039404;BTC;;80000;userQ;;alta_cuenta
88;1793471404;USDT;BTC;65.65;userR;userS;transferencia
89;1793903404;ETH;USDT;0.8;userT;;swap
90;1794335404;USDT;;35000;userA;;alta_cuenta
91;1794767404;BTC;ETH;0.11;userB;userC;transferencia
92;1795199404;USDT;BTC;300.30;userD;;swap
93;1795631404;ETH;;6500;userE;;alta_cuenta
94;1796063404;ETH;USDT;2.4;userF;userG;transferencia
95;1796495404;BTC;ETH;0.04;userH;;swap
96;1796927404;USDT;;10000;userI;;alta_cuenta
97;1797359404;USDT;BTC;100.00;userJ;userK;transferencia
98;1797791404;ETH;USDT;1.6;userL;;swap
99;1798223404;BTC;;50000;userM;;alta_cuenta
100;1798655404;BTC;ETH;0.17;userN;userO;transferencia
101;1799087404;USDT;BTC;250.00;userP;;swap
102;1799519404;ETH;;75000;userQ;;alta_cuenta
103;1799951404;USDT;ETH;50.50;userR;userS;transferencia
104;1800383404;BTC;USDT;0.08;userT;;swap
105;1800815404;USDT;;20000;userA;;alta_cuenta
106;1801247404;ETH;BTC;2.0;userB;userC;transferencia
107;1801679404;USDT;ETH;180.80;userD;;swap
108;1802111404;BTC;;90000;userE;;alta_cuenta
109;1802543404;BTC;USDT;0.13;userF;userG;transferencia
110;1802975404;ETH;BTC;0.65;userH;;swap
111;1803407404;USDT;;30000;userI;;alta_cuenta
112;1803839404;ETH;USDT;1.4;userJ;userK;transferencia
113;1804271404;BTC;ETH;0.09;userL;;swap
114;1804703404;ETH;;85000;userM;;alta_cuenta
115;1805135404;USDT;BTC;70.70;userN;userO;transferencia
116;1805567404;ETH;USDT;0.5;userP;;swap
117;1806000004;USDT;;15000;userQ;;alta_cuenta
118;1806432004;BTC;ETH;0.1;userR;userS;transferencia
119;1806864004;USDT;BTC;400.00;userT;;swap
120;1807296004;ETH;;55000;userA;;alta_cuenta
121;1807728004;ETH;USDT;2.2;userB;userC;transferencia
122;1808160004;BTC;USDT;0.16;userD;;swap
123;1808592004;USDT;;100000;userE;;alta_cuenta
124;1809024004;USDT;ETH;85.85;userF;userG;transferencia
125;1809456004;ETH;BTC;0.4;userH;;swap
126;1809888004;BTC;;70000;userI;;alta_cuenta
127;1810320004;BTC;USDT;0.07;userJ;userK;transferencia
128;1810752004;USDT;ETH;200.00;userL;;swap
129;1811184004;ETH;;25000;userM;;alta_cuenta
130;1811616004;ETH;USDT;1.9;userN;userO;transferencia
131;1812048004;BTC;ETH;0.12;userP;;swap
132;1812480004;USDT;;60000;userQ;;alta_cuenta
133;1812912004;USDT;BTC;55.55;userR;userS;transferencia
134;1813344004;ETH;USDT;0.3;userT;;swap
135;1813776004;BTC;;45000;userA;;alta_cuenta
136;1814208004;BTC;ETH;0.1;userB;userC;transferencia
137;1814640004;USDT;BTC;150.50;userD;;swap
138;1815072004;ETH;;80000;userE;;alta_cuenta
139;1815504004;USDT;ETH;95.95;userF;userG;transferencia
140;1815936004;BTC;USDT;0.06;userH;;swap
141;1816368004;USDT;;35000;userI;;alta_cuenta
142;1816800004;ETH;BTC;2.6;userJ;userK;transferencia
143;1817232004;USDT;ETH;320.30;userL;;swap
144;1817664004;BTC;;50000;userM;;alta_cuenta
145;1818096004;BTC;USDT;0.18;userN;userO;transferencia
146;1818528004;ETH;BTC;1.5;userP;;swap
147;1818960004;USDT;;90000;userQ;;alta_cuenta
148;1819392004;USDT;BTC;75.75;userR;userS;transferencia
149;1819824004;BTC;ETH;0.05;userT;;swap
150;1820256004;ETH;;10000;userA;;alta_cuenta
151;1820688004;ETH;USDT;2.1;userB;userC;transferencia
152;1821120004;USDT;BTC;250.25;userD;;swap
153;1821552004;BTC;;85000;userE;;alta_cuenta
154;1821984004;USDT;ETH;60.60;userF;userG;transferencia
155;1822416004;ETH;USDT;0.9;userH;;swap
156;1822848004;USDT;;20000;userI;;alta_cuenta
157;1823280004;BTC;ETH;0.14;userJ;userK;transferencia
158;1823712004;USDT;BTC;100.10;userL;;swap
159;1824144004;ETH;;50000;userM;;alta_cuenta
160;1824576004;ETH;USDT;1.2;userN;userO;transferencia
161;1825008004;BTC;USDT;0.08;userP;;swap
162;1825440004;USDT;;45000;userQ;;alta_cuenta
163;1825872004;USDT;ETH;30.30;userR;userS;transferencia
164;1826304004;ETH;BTC;2.8;userT;;swap
165;1826736004;BTC;;70000;userA;;alta_cuenta
166;1827168004;BTC;USDT;0.1;userB;userC;transferencia
167;1827600004;USDT;ETH;450.50;userD;;swap
168;1828032004;ETH;;100000;userE;;alta_cuenta
169;1828464004;ETH;BTC;1.1;userF;userG;transferencia
170;1828896004;USDT;USDT;50.00;userH;;swap
