id_transaccion;timestamp;moneda_origen;moneda_destino;monto;cuenta_origen;cuenta_destino;tipo
1;1754937001;USDT;;18000;userA;;alta_cuenta
2;1754937002;EUR;;25000;userB;;alta_cuenta
3;1754937003;ARS;;25000000;userC;;alta_cuenta
4;1754937004;ETH;;25;userD;;alta_cuenta
5;1754937005;BTC;;5;userE;;alta_cuenta
6;1754937010;USDT;USDT;1200;userA;userB;transferencia
8;1754937030;USDT;USDT;2300;userA;userC;transferencia
11;1754937060;USDT;USDT;800;userA;userD;transferencia
12;1754937070;USDT;USDT;6150;userA;userE;transferencia
14;1754937090;EUR;EUR;3980;userB;userA;transferencia
15;1754937100;EUR;EUR;400;userB;userC;transferencia
16;1754937110;EUR;EUR;2000;userB;userD;transferencia
18;1754937130;EUR;EUR;80;userB;userE;transferencia
19;1754937140;ARS;ARS;1600000;userC;userA;transferencia
21;1754937160;ARS;ARS;500400;userC;userB;transferencia
23;1754937180;ARS;ARS;320865;userC;userD;transferencia
25;1754937200;ARS;ARS;12650650;userC;userE;transferencia
27;1754937220;ETH;ETH;1.5;userD;userA;transferencia
29;1754937240;ETH;ETH;6;userD;userB;transferencia
31;1754937260;ETH;ETH;4.81;userD;userC;transferencia
32;1754937270;ETH;ETH;3.15;userD;userE;transferencia
34;1754937290;BTC;BTC;0.6;userE;userA;transferencia
35;1754937300;BTC;BTC;1.25;userE;userB;transferencia
38;1754937330;BTC;BTC;2.15;userE;userC;transferencia
39;1754937340;BTC;BTC;0.2;userE;userD;transferencia
7;1754937006;USDT;;1;user;;alta_cuenta
40;1754937010;USDT;USDT;1;userA;userF;transferencia
41;1754937010;EUR;EUR;1;userB;userF;transferencia
42;1754937010;ARS;ARS;1;userC;userF;transferencia
43;1754937010;ETH;ETH;1;userD;userF;transferencia
44;1754937010;BTC;BTC;1;userE;userF;transferencia
45;1754937011;USDT;BTC;1800;userA;;swap
46;1754937012;EUR;BTC;2000;userB;;swap
47;1754937013;ARS;BTC;1000000;userC;;swap
48;1754937014;ETH;BTC;1.2;userD;;swap
49;1754937015;BTC;USDT;0.1;userE;;swap
